PK_UID,minx,maxx,miny,maxy
1,10.663002,10.824699,45.772708,45.860360
2,10.663002,10.824699,45.860360,45.947874
3,10.663002,10.824699,45.947874,46.035251
4,10.663002,10.824699,46.035251,46.122489
5,10.824699,10.986396,45.684918,45.772708
6,10.824699,10.986396,45.772708,45.860360
7,10.824699,10.986396,45.860360,45.947874
8,10.824699,10.986396,45.947874,46.035251
9,10.824699,10.986396,46.035251,46.122489
10,10.986396,11.148093,45.684918,45.772708
11,10.986396,11.148093,45.772708,45.860360
12,10.986396,11.148093,45.860360,45.947874
13,10.986396,11.148093,45.947874,46.035251
14,10.986396,11.148093,46.035251,46.122489
15,10.986396,11.148093,46.122489,46.209590
16,10.986396,11.148093,46.209590,46.296553
17,11.148093,11.309789,45.684918,45.772708
18,11.148093,11.309789,45.772708,45.860360
19,11.148093,11.309789,45.860360,45.947874
20,11.148093,11.309789,45.947874,46.035251
21,11.148093,11.309789,46.035251,46.122489
22,11.148093,11.309789,46.122489,46.209590
23,11.148093,11.309789,46.209590,46.296553
24,11.148093,11.309789,46.296553,46.383377
25,11.148093,11.309789,46.383377,46.470064
26,11.148093,11.309789,46.470064,46.556613
27,11.309789,11.471486,45.684918,45.772708
28,11.309789,11.471486,45.772708,45.860360
29,11.309789,11.471486,45.860360,45.947874
30,11.309789,11.471486,45.947874,46.035251
31,11.309789,11.471486,46.035251,46.122489
32,11.309789,11.471486,46.296553,46.383377
33,11.309789,11.471486,46.383377,46.470064
34,11.309789,11.471486,46.470064,46.556613
35,11.471486,11.633183,45.684918,45.772708
36,11.471486,11.633183,45.772708,45.860360
37,11.471486,11.633183,45.860360,45.947874
38,11.471486,11.633183,45.947874,46.035251
39,11.471486,11.633183,46.035251,46.122489
40,11.633183,11.794880,45.684918,45.772708
41,11.633183,11.794880,45.772708,45.860360
42,11.633183,11.794880,45.860360,45.947874
